codiciSensori;nomiSensori;nomeStaz;codeStaz
30385;Umidità Relativa;Oppido Lucano;418000
30386;Radiazione Solare Diretta;Oppido Lucano;418000
30387;Radiazione Solare Riflessa;Oppido Lucano;418000
30388;Velocità Vento Vettoriale;Oppido Lucano;418000
30389;Direzione Vento Vettoriale;Oppido Lucano;418000
33342;Velocità Vento Scalare;Oppido Lucano;418000
33343;Direzione Vento Scalare;Oppido Lucano;418000
33344;Velocità Vento Raffica;Oppido Lucano;418000
33345;Direzione Vento Raffica;Oppido Lucano;418000
46510;Pioggia 1h;Oppido Lucano;418000
46511;Pioggia 3h;Oppido Lucano;418000
46512;Pioggia 6h;Oppido Lucano;418000
46513;Pioggia 12h;Oppido Lucano;418000
46514;Pioggia 24h;Oppido Lucano;418000
53029;Livello Neve;Oppido Lucano;418000
30360;Pioggia Cumulata;Palazzo S.Gervasio;418300
30362;Temperatura Aria;Palazzo S.Gervasio;418300
30363;Umidità Relativa;Palazzo S.Gervasio;418300
46525;Pioggia 1h;Palazzo S.Gervasio;418300
46526;Pioggia 3h;Palazzo S.Gervasio;418300
46527;Pioggia 6h;Palazzo S.Gervasio;418300
46528;Pioggia 12h;Palazzo S.Gervasio;418300
46529;Pioggia 24h;Palazzo S.Gervasio;418300
39305;Incrementi di Pioggia;Pescopagano;538000
39306;Temperatura Aria;Pescopagano;538000
52325;Pioggia 1h;Pescopagano;538000
52326;Pioggia 3h;Pescopagano;538000
52327;Pioggia 6h;Pescopagano;538000
52328;Pioggia 12h;Pescopagano;538000
52329;Pioggia 24h;Pescopagano;538000
30452;Pioggia Cumulata;Picerno;419700
30454;Temperatura Aria;Picerno;419700
30455;Umidità Relativa;Picerno;419700
46530;Pioggia 1h;Picerno;419700
46531;Pioggia 3h;Picerno;419700
46532;Pioggia 6h;Picerno;419700
46533;Pioggia 12h;Picerno;419700
46534;Pioggia 24h;Picerno;419700
65015;Temperatura Aria;Pomarico frana;858200
65016;Umidità Relativa;Pomarico frana;858200
65331;Intensità di Pioggia;Pomarico frana;858200
65332;Pioggia Cumulata;Pomarico frana;858200
65333;Pioggia 1h;Pomarico frana;858200
65334;Pioggia 3h;Pomarico frana;858200
